cities_links,cities
https://openhours.co.uk/spots?city=Abbey+Road&lat=51.5299&lng=-0.1747&search_term_id=583,Abbey Road
https://openhours.co.uk/spots?city=Abbey+Wood&lat=51.4869&lng=0.1075&search_term_id=583,Abbey Wood
https://openhours.co.uk/spots?city=Abbots+Langley&lat=51.7057&lng=-0.4176&search_term_id=583,Abbots Langley
https://openhours.co.uk/spots?city=Aberdare&lat=51.7144&lng=-3.4492&search_term_id=583,Aberdare
https://openhours.co.uk/spots?city=Aberdeen&lat=57.1437&lng=-2.0981&search_term_id=583,Aberdeen
https://openhours.co.uk/spots?city=Abergavenny&lat=51.821&lng=-3.0174&search_term_id=583,Abergavenny
https://openhours.co.uk/spots?city=Abergele&lat=53.2844&lng=-3.5822&search_term_id=583,Abergele
https://openhours.co.uk/spots?city=Abertillery&lat=51.7298&lng=-3.1343&search_term_id=583,Abertillery
https://openhours.co.uk/spots?city=Aberystwyth&lat=52.4155&lng=-4.0829&search_term_id=583,Aberystwyth
https://openhours.co.uk/spots?city=Abingdon&lat=51.6711&lng=-1.2828&search_term_id=583,Abingdon
https://openhours.co.uk/spots?city=Accrington&lat=53.7538&lng=-2.3586&search_term_id=583,Accrington
https://openhours.co.uk/spots?city=Acton&lat=53.0707&lng=-2.5533&search_term_id=583,Acton
https://openhours.co.uk/spots?city=Addlestone&lat=51.3714&lng=-0.4935&search_term_id=583,Addlestone
https://openhours.co.uk/spots?city=Airdrie&lat=56.2308&lng=-2.6998&search_term_id=583,Airdrie
https://openhours.co.uk/spots?city=Alcester&lat=52.2167&lng=-1.8667&search_term_id=583,Alcester
https://openhours.co.uk/spots?city=Aldershot&lat=51.2521&lng=-0.7301&search_term_id=583,Aldershot
https://openhours.co.uk/spots?city=Alexandria&lat=55.9938&lng=-4.5864&search_term_id=583,Alexandria
https://openhours.co.uk/spots?city=Alfreton&lat=53.0961&lng=-1.3883&search_term_id=583,Alfreton
https://openhours.co.uk/spots?city=Alloa&lat=56.1159&lng=-3.79&search_term_id=583,Alloa
https://openhours.co.uk/spots?city=Alnwick&lat=55.4132&lng=-1.7056&search_term_id=583,Alnwick
https://openhours.co.uk/spots?city=Alton&lat=53.2003&lng=-1.4233&search_term_id=583,Alton
https://openhours.co.uk/spots?city=Altrincham&lat=53.3875&lng=-2.3485&search_term_id=583,Altrincham
https://openhours.co.uk/spots?city=Amersham&lat=51.6667&lng=-0.6167&search_term_id=583,Amersham
https://openhours.co.uk/spots?city=Ammanford&lat=51.7928&lng=-3.9883&search_term_id=583,Ammanford
https://openhours.co.uk/spots?city=Andover&lat=51.2083&lng=-1.4825&search_term_id=583,Andover
https://openhours.co.uk/spots?city=Antrim&lat=54.7&lng=-6.2&search_term_id=583,Antrim
https://openhours.co.uk/spots?city=Antrim+Road&lat=54.5833&lng=-5.9333&search_term_id=583,Antrim Road
https://openhours.co.uk/spots?city=Arbroath&lat=56.5632&lng=-2.5874&search_term_id=583,Arbroath
https://openhours.co.uk/spots?city=Armagh&lat=54.35&lng=-6.6667&search_term_id=583,Armagh
https://openhours.co.uk/spots?city=Ascot&lat=51.4108&lng=-0.6748&search_term_id=583,Ascot
https://openhours.co.uk/spots?city=Ash&lat=50.7569&lng=-4.0388&search_term_id=583,Ash
https://openhours.co.uk/spots?city=Ashbourne&lat=53.0167&lng=-1.7333&search_term_id=583,Ashbourne
https://openhours.co.uk/spots?city=Ashby&lat=53.5677&lng=-0.6401&search_term_id=583,Ashby
https://openhours.co.uk/spots?city=Ashby+de+la+Zouch&lat=52.7463&lng=-1.4732&search_term_id=583,Ashby de la Zouch
https://openhours.co.uk/spots?city=Ashby-de-la-Zouch&lat=52.7432&lng=-1.4412&search_term_id=583,Ashby-de-la-Zouch
https://openhours.co.uk/spots?city=Ashfield&lat=52.2187&lng=1.2348&search_term_id=583,Ashfield
https://openhours.co.uk/spots?city=Ashford&lat=51.1&lng=-4.1&search_term_id=583,Ashford
https://openhours.co.uk/spots?city=Ashington&lat=55.1639&lng=-1.5864&search_term_id=583,Ashington
https://openhours.co.uk/spots?city=Ashorne&lat=52.2169&lng=-1.5556&search_term_id=583,Ashorne
https://openhours.co.uk/spots?city=Ashton&lat=53.2167&lng=-2.7333&search_term_id=583,Ashton
https://openhours.co.uk/spots?city=Ashton-in-Makerfield&lat=53.4833&lng=-2.65&search_term_id=583,Ashton-in-Makerfield
https://openhours.co.uk/spots?city=Ashton-under-Lyne&lat=53.4888&lng=-2.0989&search_term_id=583,Ashton-under-Lyne
https://openhours.co.uk/spots?city=Atherstone&lat=52.5754&lng=-1.5469&search_term_id=583,Atherstone
https://openhours.co.uk/spots?city=Attleborough&lat=52.5178&lng=1.0157&search_term_id=583,Attleborough
https://openhours.co.uk/spots?city=Avon&lat=50.7469&lng=-1.7544&search_term_id=583,Avon
https://openhours.co.uk/spots?city=Axminster&lat=50.7826&lng=-2.9979&search_term_id=583,Axminster
https://openhours.co.uk/spots?city=Aycliffe&lat=54.6&lng=-1.55&search_term_id=583,Aycliffe
https://openhours.co.uk/spots?city=Aylesbury&lat=51.8167&lng=-0.8146&search_term_id=583,Aylesbury
https://openhours.co.uk/spots?city=Ayr&lat=55.4627&lng=-4.6339&search_term_id=583,Ayr
https://openhours.co.uk/spots?city=Balham&lat=51.4469&lng=-0.1384&search_term_id=583,Balham
https://openhours.co.uk/spots?city=Ballymena&lat=54.8636&lng=-6.2763&search_term_id=583,Ballymena
https://openhours.co.uk/spots?city=Bamber+Bridge&lat=53.732&lng=-2.6597&search_term_id=583,Bamber Bridge
https://openhours.co.uk/spots?city=Banbridge&lat=54.35&lng=-6.2833&search_term_id=583,Banbridge
https://openhours.co.uk/spots?city=Banbury&lat=52.0602&lng=-1.3403&search_term_id=583,Banbury
https://openhours.co.uk/spots?city=Bangor&lat=54.6534&lng=-5.6689&search_term_id=583,Bangor
https://openhours.co.uk/spots?city=Bank&lat=50.879&lng=-1.5788&search_term_id=583,Bank
https://openhours.co.uk/spots?city=Bank+End&lat=54.3713&lng=-3.1958&search_term_id=583,Bank End
https://openhours.co.uk/spots?city=Bank+Newton&lat=53.9731&lng=-2.1546&search_term_id=583,Bank Newton
https://openhours.co.uk/spots?city=Bank+Street&lat=52.3054&lng=-2.5692&search_term_id=583,Bank Street
https://openhours.co.uk/spots?city=Banstead&lat=51.325&lng=-0.1957&search_term_id=583,Banstead
https://openhours.co.uk/spots?city=Bar+Hill&lat=52.249&lng=0.0288&search_term_id=583,Bar Hill
https://openhours.co.uk/spots?city=Bargoed&lat=51.6833&lng=-3.2333&search_term_id=583,Bargoed
https://openhours.co.uk/spots?city=Barking&lat=52.1333&lng=1.0333&search_term_id=583,Barking
